x;y
1;0.18
2;0.35
3;0.15
4;0.15
5;0.16
6;0.16
7;0.17
8;0.17
9;0.17
10;0.18
20;0.25
30;0.3
50;0.4
100;0.65
200;1.15
500;3.12
1000;5.19
