x;y
1;0.17
2;0.16
3;0.16
4;0.19
5;0.22
6;0.27
7;0.28
8;0.34
9;0.43
10;0.53
20;1.56
30;3.67
50;10.33
100;38.3
200;158.61
500;974.95
1000;4715.04
