x;y
1;0.39
2;0.17
3;0.19
4;0.2
5;0.24
6;0.26
7;0.3
8;0.34
9;0.38
10;0.43
20;1.2
30;3.98
50;6.6
100;24.64
200;90.96
500;524.33
1000;2031.2
