x;y
1;0.37
2;0.16
3;0.16
4;0.16
5;0.17
6;0.19
7;0.21
8;0.23
9;0.25
10;0.29
20;0.79
30;1.54
50;3.9
100;15.05
200;57.46
500;354.75
1000;1412.21
