x;y
1;0.39
2;0.15
3;0.18
4;0.21
5;0.25
6;0.31
7;0.38
8;0.47
9;0.56
10;0.65
20;2.13
30;4.93
50;12.42
100;48.37
200;196.72
500;1209.59
1000;4838.77
