x;y
1;0.17
2;0.15
3;0.17
4;0.19
5;0.21
6;0.23
7;0.26
8;0.31
9;0.36
10;0.41
20;1.15
30;2.29
50;5.86
100;22.84
200;87.36
500;539.93
1000;2147.43
