x;y
1;0.19
2;0.17
3;0.19
4;0.21
5;0.34
6;0.25
7;0.29
8;0.32
9;0.36
10;0.41
20;1.05
30;2.29
50;4.45
100;15.94
200;60.86
500;367.74
1000;1446.47
