x;y
1;0.17
2;0.18
3;0.2
4;0.23
5;0.25
6;0.28
7;0.3
8;0.34
9;0.37
10;0.42
20;1.05
30;2.12
50;5.1
100;16.88
200;61.91
500;370.51
1000;1457.6
